event_id,frame,t_s,camera,rally_id,shot_index,type,shot_label,label_correct,u_px,v_px,x_m,y_m,z_m,dist_to_net_m,in_court,speed_in_mps,speed_out_mps,speed_change_mps,turn_angle_deg,incoming_angle_deg,outgoing_angle_deg,hand,player_id,player_x_m,player_y_m,player_dist_to_ball_m,n_cams,ball_conf
hit_000069,2849,142.539,side-2,,,player_hit,,,2463.7,924.5,8.662,22.467,,12.467,,2.644,1.230,-1.414,99.8,-71.7,-171.5,left,,,,,1,0.550
hit_000070,2895,144.841,side-2,,,wall_bounce,,,2153.3,1011.2,6.612,20.320,,10.320,,2.601,0.342,-2.259,63.8,119.4,-176.9,,,,,,1,0.677
hit_000071,2918,145.991,side-1,,,wall_bounce,,,2571.8,665.6,11.478,37.600,,27.600,,57.428,20.805,-36.623,118.6,-78.3,40.3,,,,,,1,0.579
hit_000072,2923,146.241,side-1,,,player_hit,,,2567.9,877.7,9.650,26.424,,16.424,,49.637,9.897,-39.741,67.4,68.8,136.2,left,,,,,1,0.612
hit_000073,2954,147.792,side-1,,,wall_bounce,,,2872.8,1089.7,10.293,20.032,,10.032,,2.223,1.029,-1.194,91.4,121.3,-147.2,,,,,,1,0.566
hit_000074,2960,148.093,side-1,,,player_hit,,,2849.9,1041.9,10.437,21.227,,11.227,,4.642,1.008,-3.634,107.6,-121.3,-13.8,right,,,,,1,0.602
hit_000075,3002,150.194,side-1,,,wall_bounce,,,2257.9,1052.3,7.016,20.943,,10.943,,37.663,22.955,-14.708,75.1,-134.1,-59.1,,,,,,1,0.626
hit_000076,3016,150.894,side-2,,,wall_bounce,,,788.3,875.3,-2.364,25.287,,15.287,,75.641,80.641,5.000,16.0,-91.9,-76.0,,,,,,2,0.514
hit_000077,3041,152.145,side-2,,,player_hit,,,2083.4,1191.1,6.010,16.603,,6.603,,18.452,2.769,-15.683,72.6,55.0,-17.6,left,,,,,1,0.542
hit_000078,3065,153.346,side-2,,,wall_bounce,,,2148.7,961.8,6.678,21.606,,11.606,,1.057,5.257,4.201,177.5,0.2,177.7,,,,,,1,0.518
hit_000079,3084,154.296,side-2,,,wall_bounce,,,2566.7,1003.8,8.917,20.284,,10.284,,0.909,1.912,1.004,27.7,5.3,-22.4,,,,,,1,0.649
hit_000080,3126,156.398,side-2,,,wall_bounce,,,2497.6,1005.3,8.532,20.284,,10.284,,3.506,4.356,0.850,176.0,-161.3,14.6,,,,,,1,0.557
hit_000081,3149,157.548,side-2,,,wall_bounce,,,2085.7,989.5,6.266,20.905,,10.905,,0.205,1.388,1.183,87.9,17.3,-70.6,,,,,,1,0.647
hit_000082,3189,159.550,side-1,,,player_hit,,,2492.8,1066.3,8.296,20.594,,10.594,,14.932,25.222,10.290,148.7,-73.8,137.5,right,,,,,2,0.514
