t,cam1_x,cam1_y,cam1_src,cam2_x,cam2_y,cam2_src
287,,,none,,,none
288,,,none,,,none
289,,,none,,,none
290,,,none,,,none
291,,,none,,,none
292,,,none,,,none
293,,,none,,,none
294,,,none,,,none
295,,,none,,,none
296,,,none,,,none
297,,,none,,,none
298,,,none,,,none
299,,,none,,,none
300,,,none,,,none
301,,,none,,,none
302,,,none,,,none
303,,,none,,,none
304,,,none,,,none
305,,,none,,,none
306,,,none,,,none
307,,,none,,,none
308,,,none,,,none
309,,,none,,,none
310,,,none,,,none
311,,,none,,,none
312,,,none,,,none
313,,,none,,,none
314,,,none,,,none
315,,,none,,,none
316,,,none,,,none
317,,,none,,,none
318,,,none,,,none
319,,,none,,,none
320,,,none,,,none
321,,,none,,,none
322,,,none,,,none
323,,,none,,,none
324,,,none,,,none
325,,,none,,,none
326,,,none,,,none
327,,,none,,,none
328,,,none,,,none
329,,,none,,,none
330,,,none,,,none
331,,,none,,,none
332,,,none,,,none
333,,,none,,,none
334,,,none,,,none
335,,,none,,,none
336,,,none,,,none
337,,,none,,,none
338,,,none,,,none
339,,,none,,,none
340,,,none,,,none
341,,,none,,,none
342,,,none,,,none
343,,,none,,,none
344,,,none,,,none
345,,,none,,,none
346,,,none,,,none
347,,,none,,,none
348,,,none,,,none
349,,,none,,,none
350,,,none,,,none
351,,,none,,,none
352,,,none,,,none
353,,,none,,,none
354,,,none,,,none
355,,,none,,,none
356,,,none,,,none
357,,,none,,,none
358,,,none,,,none
359,,,none,,,none
360,,,none,,,none
361,,,none,,,none
362,,,none,,,none
363,,,none,,,none
364,,,none,,,none
365,,,none,,,none
366,,,none,,,none
367,,,none,,,none
368,,,none,,,none
369,,,none,,,none
370,,,none,,,none
371,,,none,,,none
372,,,none,,,none
373,,,none,,,none
374,,,none,,,none
375,,,none,,,none
376,,,none,,,none
377,,,none,,,none
378,,,none,,,none
379,,,none,,,none
380,,,none,,,none
381,,,none,,,none
382,,,none,,,none
383,,,none,,,none
384,,,none,,,none
385,,,none,,,none
386,,,none,,,none
387,,,none,,,none
388,,,none,,,none
389,,,none,,,none
390,,,none,,,none
391,,,none,,,none
392,,,none,,,none
393,,,none,,,none
394,,,none,,,none
395,,,none,,,none
396,,,none,,,none
397,,,none,,,none
398,,,none,,,none
399,,,none,,,none
400,,,none,,,none
401,,,none,,,none
402,,,none,,,none
403,,,none,,,none
404,,,none,,,none
405,,,none,,,none
406,,,none,,,none
407,,,none,,,none
408,,,none,,,none
409,,,none,,,none
410,,,none,,,none
411,,,none,,,none
412,,,none,,,none
413,1140.0,469.0,detected,,,none
414,1132.0,480.0,detected,,,none
415,1132.0,488.0,detected,,,none
416,1125.0,495.0,detected,,,none
417,1129.0,506.0,detected,,,none
418,1121.0,521.0,detected,,,none
419,1121.0,540.0,detected,,,none
420,1118.0,562.0,detected,,,none
421,1114.0,585.0,detected,,,none
422,1114.0,608.0,detected,,,none
423,1110.0,592.0,detected,,,none
424,1110.0,574.0,detected,,,none
425,1110.0,559.0,detected,,,none
426,1110.0,548.0,detected,,,none
427,1110.0,540.0,detected,,,none
428,1110.0,532.0,detected,,,none
429,1110.0,525.0,detected,,,none
430,1106.0,525.0,detected,,,none
431,1110.0,521.0,detected,,,none
432,1110.0,525.0,detected,,,none
433,1110.0,523.2,inpaint,,,none
434,1110.0,521.5,inpaint,,,none
435,1110.0,519.8,inpaint,,,none
436,1110.0,518.0,detected,,,none
437,1110.0,521.0,detected,,,none
438,1110.0,529.0,detected,664.0,855.0,detected
439,1110.0,536.0,detected,694.0,788.0,detected
440,1114.0,555.0,detected,716.0,728.0,detected
441,1110.0,581.0,detected,739.0,682.0,detected
442,1110.0,608.0,detected,761.0,649.0,detected
443,1110.0,645.0,detected,776.0,619.0,detected
444,1106.0,690.0,detected,795.0,600.0,detected
445,1106.0,746.0,detected,810.0,581.0,detected
446,1102.0,802.0,detected,825.0,574.0,detected
447,1099.0,892.0,detected,836.0,570.0,detected
448,1095.0,986.0,detected,851.0,570.0,detected
449,,,none,859.0,570.0,detected
450,,,none,866.0,578.0,detected
451,,,none,878.0,585.0,detected
452,,,none,885.0,596.0,detected
453,,,none,896.0,608.0,detected
454,,,none,900.0,619.0,detected
455,,,none,900.0,589.0,detected
456,,,none,904.0,559.0,detected
457,,,none,904.0,536.0,detected
458,,,none,908.0,514.0,detected
459,,,none,908.0,491.0,detected
460,,,none,911.0,476.0,detected
461,,,none,,,none
462,,,none,278.0,191.0,detected
463,,,none,278.0,191.0,detected
464,,,none,270.0,195.0,detected
465,,,none,270.0,199.0,detected
466,,,none,270.0,199.0,detected
467,,,none,270.0,199.0,detected
468,,,none,270.0,199.0,detected
469,,,none,270.0,202.0,detected
470,,,none,,,none
471,,,none,,,none
472,,,none,,,none
473,,,none,,,none
474,,,none,,,none
475,1230.0,649.0,detected,,,none
476,1230.0,604.0,detected,,,none
477,1234.0,570.0,detected,720.0,469.0,detected
478,1233.6,567.6,inpaint,694.0,484.0,detected
479,1233.3,565.3,inpaint,664.0,514.0,detected
480,1232.9,562.9,inpaint,634.0,551.0,detected
481,1232.5,560.5,inpaint,596.0,600.0,detected
482,1232.2,558.2,inpaint,559.0,652.0,detected
483,1231.8,555.8,inpaint,518.0,716.0,detected
484,1231.5,553.5,inpaint,,,none
485,1231.1,551.1,inpaint,450.0,210.0,detected
486,1230.7,548.7,inpaint,446.0,210.0,detected
487,1230.4,546.4,inpaint,439.0,214.0,detected
488,1230.0,544.0,detected,435.0,214.0,detected
489,1230.0,559.0,detected,429.5,216.0,inpaint
490,1230.0,574.0,detected,424.0,218.0,detected
491,1230.0,585.0,detected,416.0,221.0,detected
492,1230.0,596.0,detected,412.0,221.0,detected
493,1230.0,566.0,detected,405.0,221.0,detected
494,1230.0,544.0,detected,401.0,225.0,detected
495,1234.0,521.0,detected,394.0,229.0,detected
496,1234.0,502.0,detected,386.0,229.0,detected
497,1234.0,484.0,detected,379.0,236.0,detected
498,1234.0,472.0,detected,371.0,236.0,detected
499,1230.0,465.0,detected,368.0,236.0,detected
500,1230.0,458.0,detected,364.0,240.0,detected
501,1234.0,450.0,detected,356.0,244.0,detected
502,,,none,349.0,244.0,detected
503,,,none,,,none
504,,,none,,,none
505,,,none,,,none
506,,,none,,,none
507,,,none,,,none
508,,,none,,,none
509,,,none,,,none
510,,,none,,,none
511,,,none,,,none
512,,,none,,,none
513,,,none,,,none
514,,,none,,,none
515,,,none,,,none
516,,,none,,,none
517,,,none,,,none
518,,,none,,,none
519,,,none,,,none
520,,,none,,,none
521,,,none,,,none
522,,,none,,,none
523,,,none,,,none
524,,,none,,,none
525,,,none,,,none
526,,,none,,,none
527,,,none,,,none
528,,,none,,,none
529,,,none,,,none
530,,,none,,,none
531,,,none,,,none
532,,,none,,,none
533,,,none,,,none
534,,,none,,,none
535,,,none,,,none
536,,,none,,,none
537,,,none,,,none
538,,,none,,,none
539,,,none,,,none
540,,,none,,,none
541,,,none,,,none
542,,,none,,,none
543,,,none,,,none
544,,,none,,,none
545,,,none,,,none
546,,,none,,,none
547,,,none,,,none
548,,,none,,,none
549,,,none,,,none
550,1114.0,510.0,detected,,,none
551,1110.0,525.0,detected,,,none
552,1106.0,536.0,detected,,,none
553,1102.0,555.0,detected,,,none
554,1099.0,574.0,detected,,,none
555,1091.0,596.0,detected,,,none
556,1091.0,596.0,detected,,,none
557,1091.0,581.0,detected,,,none
558,1091.0,562.0,detected,,,none
559,1088.0,551.0,detected,,,none
560,1088.0,544.0,detected,,,none
561,1084.0,540.0,detected,,,none
562,1084.0,536.0,detected,,,none
563,1084.0,529.0,detected,,,none
564,1080.0,529.0,detected,,,none
565,1065.0,529.0,detected,,,none
566,1054.0,529.0,detected,,,none
567,1039.0,536.0,detected,,,none
568,1024.0,544.0,detected,,,none
569,1012.0,555.0,detected,,,none
570,998.0,570.0,detected,848.0,1020.0,detected
571,979.0,589.0,detected,885.0,949.0,detected
572,964.0,611.0,detected,919.0,896.0,detected
573,941.0,641.0,detected,941.0,855.0,detected
574,919.0,675.0,detected,971.0,825.0,detected
575,896.0,720.0,detected,994.0,802.0,detected
576,874.0,769.0,detected,1012.0,784.0,detected
577,848.0,825.0,detected,1039.0,776.0,detected
578,840.0,848.0,detected,1046.0,776.0,detected
579,836.0,870.0,detected,1054.0,799.0,detected
580,829.0,892.0,detected,1061.0,821.0,detected
581,821.0,915.0,detected,1065.0,851.0,detected
582,818.0,930.0,detected,1072.0,881.0,detected
583,814.0,904.0,detected,1080.0,881.0,detected
584,814.0,885.0,detected,1084.0,866.0,detected
585,810.0,870.0,detected,1084.0,859.0,detected
586,806.0,859.0,detected,1091.0,851.0,detected
587,802.0,851.0,detected,1095.0,851.0,inpaint
588,799.0,851.0,detected,1099.0,851.0,detected
589,799.0,851.0,detected,1102.0,855.0,detected
590,795.0,851.0,detected,1106.0,862.0,detected
591,791.0,862.0,detected,1114.0,878.0,detected
592,791.0,874.0,detected,1114.0,896.0,detected
593,791.0,885.0,detected,1118.0,915.0,detected
594,788.0,881.0,detected,1121.0,938.0,detected
595,784.0,866.0,detected,1129.0,922.0,detected
596,780.0,855.0,detected,1132.0,915.0,detected
597,772.0,851.0,detected,1136.0,908.0,detected
598,769.0,851.0,detected,1142.0,908.0,inpaint
599,765.0,851.0,detected,1148.0,908.0,detected
600,761.0,855.0,detected,1151.0,915.0,detected
601,761.0,862.0,detected,1159.0,922.0,detected
602,754.0,878.0,detected,1166.0,938.0,detected
603,754.0,870.0,detected,1170.0,949.0,detected
604,746.0,859.0,detected,1178.0,938.0,detected
605,739.0,855.0,detected,1181.0,938.0,detected
606,739.0,855.0,detected,1185.0,938.0,detected
607,739.0,855.0,detected,1192.0,941.0,detected
608,731.0,862.0,detected,1196.0,949.0,detected
609,731.0,862.0,detected,1204.0,960.0,detected
610,724.0,855.0,detected,1208.0,956.0,detected
611,720.0,855.0,detected,1211.0,956.0,detected
612,716.0,855.0,detected,1215.0,960.0,detected
613,716.0,855.0,detected,1222.0,964.0,detected
614,712.0,855.0,detected,,,none
615,709.0,851.0,detected,,,none
616,705.0,851.0,detected,,,none
617,701.0,851.0,detected,,,none
618,701.0,851.0,detected,,,none
619,1511.0,304.0,detected,,,none
620,1500.0,296.0,detected,,,none
621,1489.0,300.0,detected,,,none
622,1474.0,302.0,inpaint,,,none
623,1459.0,304.0,detected,,,none
624,1448.0,292.0,detected,,,none
625,1436.0,289.0,detected,,,none
626,1425.0,285.0,detected,,,none
627,1414.0,281.0,detected,,,none
628,1410.0,281.0,detected,,,none
629,1410.0,266.0,detected,,,none
630,1399.0,259.0,detected,,,none
631,1388.0,259.0,detected,,,none
632,1376.0,259.0,detected,,,none
633,1361.0,259.0,detected,,,none
634,1331.0,281.0,detected,,,none
635,1324.0,270.0,detected,,,none
636,1354.0,270.0,detected,,,none
637,1298.0,266.0,detected,,,none
638,1286.0,262.0,detected,,,none
639,1271.0,262.0,detected,,,none
640,1264.0,259.0,detected,,,none
641,1252.0,259.0,detected,,,none
642,1241.0,259.0,detected,,,none
643,1226.0,259.0,detected,,,none
644,1219.0,259.0,detected,,,none
645,1211.0,259.0,detected,,,none
646,1204.0,259.0,detected,,,none
647,1189.0,255.0,detected,,,none
648,799.0,791.0,detected,,,none
649,814.0,784.0,detected,,,none
650,829.0,772.0,detected,,,none
