frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
159,1,1723.1,946.9,0,,,3.837,23.847,,side-1
160,1,1720.7,948.1,0,,,3.823,23.808,,side-1
161,1,1719.9,936.9,0,,,3.804,24.167,,side-1
162,1,1713.8,959.9,0,,,3.795,23.437,,side-1
163,1,1713.7,975.0,0,,,3.813,22.980,,side-1
164,1,1710.5,1009.5,0,,,3.835,21.989,,side-1
165,1,1707.4,1041.4,0,,,3.853,21.134,,side-1
166,1,1704.6,1108.8,0,,,3.908,19.508,,side-1
167,1,1703.9,1117.5,0,,,3.912,19.314,,side-1
168,1,1701.7,1164.3,0,,,3.945,18.324,,side-1
169,1,1699.3,1190.7,0,,,3.956,17.800,,side-1
170,1,1685.0,1142.5,0,,,3.839,18.773,,side-1
171,1,1682.4,1127.2,0,,,3.810,19.101,,side-1
172,1,1680.6,1102.1,0,,,3.773,19.660,,side-1
173,1,1677.4,1089.4,0,,,3.741,19.953,,side-1
174,1,1671.2,1069.6,0,,,3.684,20.426,,side-1
175,1,1669.4,1048.0,0,,,3.646,20.963,,side-1
176,1,1668.1,1039.7,0,,,3.628,21.175,,side-1
177,1,1665.0,1038.7,0,,,3.609,21.201,,side-1
178,1,1670.0,1038.4,0,,,3.637,21.209,,side-1
179,1,1688.7,1029.3,0,,,3.732,21.449,,side-1
180,1,1713.7,1013.3,0,,,3.859,21.882,,side-1
181,1,1736.0,1004.4,1,2219.3,2118.3,4.328,15.102,1.485,both (3D)
182,1,1788.6,1005.0,1,2113.2,1893.8,4.524,14.450,1.629,both (3D)
183,1,1791.0,1015.5,1,2126.2,1893.6,4.514,14.396,1.601,both (3D)
184,1,1839.5,1012.5,1,1961.4,1569.9,4.770,13.228,1.863,both (3D)
185,0,,,1,1964.9,1567.4,4.709,8.359,,side-2
186,1,1886.2,1039.7,1,1737.7,1201.4,4.869,21.187,,side-1
187,1,1966.9,1081.0,1,1699.9,1152.4,5.312,20.163,,side-1
188,1,1978.5,1095.1,0,,,5.369,19.833,,side-1
