frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
192,1,2195.7,1399.5,1,1602.5,1099.8,6.182,14.432,,side-1
193,1,2267.0,1519.6,1,1587.4,1098.1,5.935,8.160,1.686,both (3D)
194,1,2338.0,1664.0,1,1570.0,1100.3,6.051,7.558,1.527,both (3D)
195,1,2422.0,1826.9,1,1542.9,1117.1,6.198,7.036,1.329,both (3D)
196,1,2493.9,2016.1,1,1541.2,1114.0,6.270,6.366,1.171,both (3D)
197,1,2521.6,2037.7,0,,,6.653,8.533,,side-1
198,1,2507.6,2027.5,1,1522.4,1162.5,6.336,6.586,1.033,both (3D)
199,0,,,1,1501.3,1195.5,3.231,16.734,,side-2
200,0,,,1,1492.4,1222.6,3.227,16.264,,side-2
201,0,,,1,1466.2,1070.3,2.835,19.267,,side-2
202,1,1782.5,1223.4,1,1464.6,1031.6,4.413,17.232,,side-1
203,0,,,1,1464.3,999.4,2.669,20.995,,side-2
204,0,,,1,1462.5,982.4,2.617,21.450,,side-2
205,0,,,1,1454.4,954.6,,,,lost
206,0,,,1,1451.4,950.2,,,,lost
207,0,,,1,1446.9,925.2,,,,lost
208,0,,,0,,,,,,lost
209,0,,,1,1407.4,881.6,,,,lost
210,0,,,0,,,,,,lost
211,0,,,1,1394.2,861.8,,,,lost
212,0,,,0,,,,,,lost
213,0,,,1,1367.9,850.2,,,,lost
214,0,,,1,1370.9,842.7,,,,lost
215,0,,,1,1371.1,834.3,,,,lost
216,1,3264.0,2085.9,1,1339.0,853.7,7.276,4.625,1.906,both (3D)
217,1,3176.9,1919.0,1,1218.8,993.8,7.596,6.005,1.588,both (3D)
218,1,2959.4,1568.5,0,,,8.839,12.362,,side-1
219,1,3014.7,1666.6,0,,,8.781,11.368,,side-1
220,1,2827.4,1455.0,1,1223.9,1038.4,7.271,8.038,1.899,both (3D)
221,1,2761.1,1407.4,1,1189.5,1097.8,7.269,8.694,1.831,both (3D)
222,1,2836.8,1464.3,1,1160.9,1189.6,7.439,8.791,1.588,both (3D)
223,1,2783.3,1434.7,1,1131.1,1275.1,7.437,9.414,1.471,both (3D)
224,1,2680.5,1404.4,1,1106.5,1391.8,7.342,10.240,1.323,both (3D)
225,1,2657.4,1401.0,0,,,8.096,14.408,,side-1
226,1,2658.0,1417.3,1,1212.4,1253.2,7.122,9.464,1.531,both (3D)
227,1,2688.4,1475.6,1,1168.9,1337.4,7.254,9.623,1.300,both (3D)
228,0,,,1,1210.0,1247.1,1.946,15.948,,side-2
229,1,2808.7,1668.7,1,1107.1,1575.3,7.584,9.732,0.593,both (3D)
230,1,2877.1,1810.5,1,1363.7,1026.2,7.016,6.453,1.591,both (3D)
231,0,,,1,1107.4,1519.8,2.107,12.305,,side-2
232,1,3033.1,2126.7,1,1106.5,1512.1,7.887,7.842,0.083,both (3D)
233,0,,,1,1423.2,965.6,2.336,21.940,,side-2
234,0,,,1,1425.7,967.6,2.356,21.883,,side-2
235,0,,,1,1439.7,958.8,,,,lost
236,0,,,1,1459.6,956.7,,,,lost
237,0,,,1,1481.6,958.6,,,,lost
238,0,,,1,1493.5,966.0,2.765,21.885,,side-2
239,0,,,1,1518.7,976.4,2.941,21.580,,side-2
240,0,,,1,1526.3,1008.8,3.051,20.717,,side-2
241,0,,,1,1523.1,1022.3,3.058,20.378,,side-2
242,0,,,1,1520.9,1058.4,3.112,19.513,,side-2
243,0,,,1,1517.2,1043.0,3.064,19.878,,side-2
244,0,,,1,1511.4,1038.8,3.023,19.981,,side-2
245,0,,,1,1503.6,1031.4,2.965,20.165,,side-2
246,0,,,1,1488.9,1030.4,2.879,20.198,,side-2
247,0,,,1,1491.4,1037.9,2.909,20.013,,side-2
248,0,,,1,1488.3,1043.1,2.902,19.890,,side-2
249,0,,,1,1480.2,1059.4,2.890,19.511,,side-2
250,0,,,1,1477.1,1077.8,2.909,19.094,,side-2
251,0,,,1,1470.0,1112.4,2.937,18.351,,side-2
252,0,,,1,1474.1,1116.3,2.965,18.268,,side-2
253,0,,,0,,,,,,lost
254,0,,,1,1463.3,1223.6,3.091,16.257,,side-2
255,0,,,1,1462.6,1242.0,3.116,15.948,,side-2
256,0,,,1,1446.4,1242.9,3.042,15.940,,side-2
257,0,,,1,1436.4,1249.0,3.004,15.842,,side-2
258,0,,,1,1434.4,1247.7,2.993,15.865,,side-2
259,0,,,1,1434.0,1265.9,3.020,15.571,,side-2
260,0,,,1,1427.5,1278.9,3.011,15.368,,side-2
261,0,,,1,1422.6,1300.9,3.022,15.033,,side-2
262,0,,,1,1420.6,1335.9,3.064,14.523,,side-2
263,0,,,0,,,,,,lost
264,0,,,1,1404.9,1432.7,3.130,13.250,,side-2
265,0,,,1,1400.4,1436.1,3.116,13.210,,side-2
266,0,,,1,1387.6,1452.9,3.087,13.010,,side-2
267,0,,,1,1379.1,1457.2,3.059,12.961,,side-2
268,1,2642.3,2125.2,1,1375.9,1465.6,6.861,7.702,0.182,both (3D)
269,1,2619.3,2080.6,1,1367.8,1483.9,6.853,7.941,0.192,both (3D)
270,1,2609.9,2058.8,1,1362.3,1520.5,6.859,8.167,0.137,both (3D)
271,1,2591.3,2038.4,1,1337.9,1622.1,6.899,8.668,-0.056,both (3D)
272,1,2574.1,2026.8,1,1343.5,1603.7,6.862,8.647,-0.002,both (3D)
273,1,2563.2,1987.5,1,1338.7,1654.1,6.863,8.977,-0.049,both (3D)
274,1,2553.0,1933.4,1,1327.0,1662.2,6.868,9.210,0.015,both (3D)
275,1,2546.2,1878.7,1,1312.1,1669.6,6.882,9.447,0.085,both (3D)
276,1,2528.4,1837.1,1,1312.3,1692.7,6.856,9.694,0.109,both (3D)
277,1,2515.7,1787.0,1,1301.4,1716.1,6.854,9.983,0.150,both (3D)
278,1,2514.5,1772.5,1,1295.4,1734.4,6.863,10.109,0.144,both (3D)
279,1,2516.7,1757.0,1,1911.6,567.4,6.941,10.568,,side-1
280,1,2517.7,1755.1,1,1284.5,1705.5,6.881,10.078,0.223,both (3D)
281,1,2517.7,1756.3,1,1283.1,1702.9,6.883,10.066,0.225,both (3D)
282,1,2515.4,1761.7,0,,,6.931,10.528,,side-1
283,1,2516.3,1774.6,1,1282.5,1766.2,6.890,10.227,0.087,both (3D)
284,1,2516.1,1802.2,1,1290.7,1726.1,6.875,9.978,0.107,both (3D)
285,1,2516.3,1833.7,1,1290.6,1765.7,6.882,10.007,-0.014,both (3D)
286,1,2510.4,1847.9,1,1295.6,1776.5,6.867,9.997,-0.057,both (3D)
287,1,2520.0,1867.5,1,1299.8,1788.5,6.878,9.955,-0.112,both (3D)
288,1,2518.4,1875.4,1,1309.9,1774.9,6.858,9.870,-0.101,both (3D)
289,1,2520.7,1878.3,1,1308.9,1766.1,6.862,9.828,-0.090,both (3D)
290,1,2521.3,1880.0,1,1310.1,1765.8,6.861,9.819,-0.093,both (3D)
291,1,2522.3,1889.2,1,1314.4,1764.9,6.856,9.778,-0.107,both (3D)
292,1,2523.8,1897.5,1,1315.1,1757.7,6.857,9.722,-0.107,both (3D)
293,1,2524.7,1907.0,1,1316.9,1755.3,6.855,9.679,-0.118,both (3D)
294,1,2526.1,1911.8,1,1319.1,1746.8,6.853,9.628,-0.111,both (3D)
295,1,2528.2,1914.1,1,1317.9,1742.8,6.858,9.605,-0.107,both (3D)
296,1,2527.5,1916.2,1,1324.2,1736.8,6.845,9.570,-0.099,both (3D)
297,0,,,1,1325.2,1736.1,3.185,10.217,,side-2
298,1,2512.6,1923.9,1,1333.7,1736.1,6.808,9.547,-0.111,both (3D)
299,1,2511.0,1920.0,1,1337.4,1732.6,6.798,9.545,-0.098,both (3D)
300,0,,,1,1340.0,1717.4,3.215,10.371,,side-2
301,0,,,1,1342.5,1710.1,3.216,10.432,,side-2
302,1,2505.8,1819.4,1,1343.5,1703.7,6.771,9.785,0.117,both (3D)
303,1,2514.8,1782.9,1,1331.2,1683.8,6.800,9.845,0.212,both (3D)
304,1,2520.6,1750.7,0,,,6.962,10.621,,side-1
305,1,2537.2,1710.9,0,,,7.070,10.969,,side-1
306,1,2546.1,1671.3,0,,,7.156,11.333,,side-1
307,1,2549.0,1663.5,0,,,7.178,11.407,,side-1
308,0,,,0,,,,,,lost
309,0,,,0,,,,,,lost
310,1,2548.7,1603.7,0,,,7.269,11.999,,side-1
311,1,2543.2,1589.1,0,,,7.272,12.150,,side-1
312,1,2521.0,1579.5,1,1282.6,1492.3,6.852,9.927,0.872,both (3D)
313,1,2506.6,1562.9,0,,,7.180,12.431,,side-1
314,1,2496.3,1549.6,0,,,7.163,12.576,,side-1
315,0,,,0,,,,,,lost
316,0,,,0,,,,,,lost
317,0,,,0,,,,,,lost
318,0,,,0,,,,,,lost
319,0,,,0,,,,,,lost
320,0,,,0,,,,,,lost
321,0,,,1,2626.3,2118.2,6.909,7.563,,side-2
322,0,,,0,,,,,,lost
323,0,,,0,,,,,,lost
324,0,,,1,1232.9,1628.2,2.744,11.181,,side-2
325,0,,,0,,,,,,lost
326,0,,,0,,,,,,lost
327,0,,,1,1201.9,1690.7,2.721,10.619,,side-2
328,0,,,1,1205.3,1695.0,2.738,10.581,,side-2
329,0,,,1,1217.8,1712.7,2.803,10.427,,side-2
330,0,,,1,1222.7,1734.7,2.846,10.243,,side-2
331,1,2444.3,1470.7,1,1225.5,1756.9,6.820,11.523,0.674,both (3D)
332,1,2445.8,1462.8,1,1227.4,1764.6,6.819,11.577,0.679,both (3D)
333,1,2430.6,1443.1,1,1221.5,1800.9,6.798,11.811,0.674,both (3D)
334,1,2428.4,1428.2,1,1211.8,1804.5,6.805,11.899,0.701,both (3D)
335,1,2429.2,1410.6,0,,,7.131,14.278,,side-1
336,1,1566.2,1041.3,1,1177.6,1818.8,3.098,21.210,,side-1
337,0,,,1,2393.8,955.2,8.129,21.640,,side-2
338,0,,,1,1123.9,1819.8,2.635,9.585,,side-2
339,0,,,1,996.4,1509.1,1.660,12.444,,side-2
340,0,,,0,,,,,,lost
341,0,,,0,,,,,,lost
342,0,,,0,,,,,,lost
343,0,,,0,,,,,,lost
344,1,2433.8,1323.6,1,1314.3,977.1,7.313,15.540,,side-1
345,1,2431.6,1326.4,1,1075.1,1952.6,6.961,12.940,0.771,both (3D)
346,1,2434.5,1328.0,0,,,7.308,15.472,,side-1
347,1,2428.4,1328.3,0,,,7.280,15.467,,side-1
348,1,2432.3,1324.8,0,,,7.304,15.521,,side-1
349,1,2427.9,1322.0,0,,,7.291,15.565,,side-1
350,1,2430.0,1320.0,0,,,7.304,15.596,,side-1
351,1,2426.2,1317.2,0,,,7.293,15.640,,side-1
352,1,2427.1,1317.1,0,,,7.297,15.641,,side-1
353,0,,,0,,,,,,lost
354,1,2417.9,1311.8,0,,,7.266,15.724,,side-1
355,1,2412.3,1290.7,0,,,7.284,16.064,,side-1
356,1,2408.5,1281.2,1,2822.5,1805.0,7.286,16.221,,side-1
357,0,,,0,,,,,,lost
358,0,,,0,,,,,,lost
359,0,,,0,,,,,,lost
360,0,,,0,,,,,,lost
361,0,,,0,,,,,,lost
362,0,,,0,,,,,,lost
363,0,,,0,,,,,,lost
364,0,,,1,656.3,2122.5,1.706,7.686,,side-2
365,1,2384.7,1172.9,0,,,7.411,18.207,,side-1
366,1,2384.8,1191.1,0,,,7.369,17.845,,side-1
367,1,2385.7,1204.3,0,,,7.343,17.591,,side-1
368,0,,,0,,,,,,lost
369,0,,,0,,,,,,lost
370,0,,,1,3080.4,1875.0,8.490,8.976,,side-2
371,0,,,0,,,,,,lost
372,0,,,0,,,,,,lost
373,0,,,0,,,,,,lost
374,0,,,0,,,,,,lost
375,0,,,0,,,,,,lost
376,0,,,0,,,,,,lost
377,0,,,0,,,,,,lost
378,1,2374.1,1127.3,0,,,7.468,19.165,,side-1
379,1,2370.1,1110.0,0,,,7.492,19.553,,side-1
380,0,,,0,,,,,,lost
381,0,,,0,,,,,,lost
382,0,,,0,,,,,,lost
383,0,,,0,,,,,,lost
384,0,,,0,,,,,,lost
385,0,,,0,,,,,,lost
386,0,,,0,,,,,,lost
387,0,,,0,,,,,,lost
388,0,,,0,,,,,,lost
389,0,,,0,,,,,,lost
390,0,,,0,,,,,,lost
391,0,,,0,,,,,,lost
392,1,2373.8,1098.7,0,,,7.541,19.812,,side-1
393,0,,,0,,,,,,lost
394,0,,,0,,,,,,lost
395,0,,,0,,,,,,lost
396,0,,,0,,,,,,lost
397,0,,,0,,,,,,lost
398,0,,,0,,,,,,lost
399,0,,,0,,,,,,lost
400,0,,,0,,,,,,lost
401,0,,,0,,,,,,lost
402,1,2279.4,989.2,0,,,,,,lost
403,1,2280.2,958.0,0,,,,,,lost
404,1,2303.9,964.2,0,,,,,,lost
405,1,2293.0,955.1,0,,,,,,lost
406,1,2277.0,925.0,0,,,,,,lost
407,1,2275.6,921.6,0,,,,,,lost
408,1,2300.5,952.5,0,,,,,,lost
409,1,2284.1,996.5,0,,,,,,lost
410,0,,,0,,,,,,lost
411,1,2306.2,948.8,0,,,,,,lost
412,0,,,0,,,,,,lost
413,1,2257.6,922.4,0,,,,,,lost
414,1,2254.4,926.6,0,,,,,,lost
415,1,2258.5,942.8,0,,,,,,lost
416,1,2258.8,968.8,0,,,,,,lost
417,1,2261.1,983.8,0,,,,,,lost
418,1,2258.3,1006.2,0,,,,,,lost
419,1,2248.4,1043.7,0,,,6.981,21.165,,side-1
420,1,2245.6,1078.1,0,,,6.891,20.300,,side-1
421,1,2237.9,1118.8,0,,,6.769,19.353,,side-1
422,1,2235.0,1166.1,0,,,6.670,18.342,,side-1
423,1,2225.2,1208.1,0,,,6.554,17.518,,side-1
424,1,2224.6,1190.4,0,,,6.579,17.858,,side-1
425,1,2219.5,1154.8,1,1467.3,986.6,6.611,18.575,,side-1
426,1,2218.7,1123.7,0,,,6.659,19.244,,side-1
427,1,2220.7,1098.5,0,,,6.715,19.816,,side-1
428,1,2217.6,1085.4,0,,,6.724,20.125,,side-1
429,1,2208.7,1073.8,0,,,6.696,20.403,,side-1
430,1,2214.3,1057.7,0,,,6.758,20.804,,side-1
431,1,2209.1,1051.7,0,,,6.741,20.957,,side-1
432,0,,,0,,,,,,lost
433,1,2215.7,1054.5,0,,,6.773,20.887,,side-1
434,1,2215.9,1040.6,0,,,6.802,21.245,,side-1
435,1,2223.6,1031.2,0,,,6.866,21.493,,side-1
436,1,2223.0,1027.1,1,1267.5,1931.3,6.253,14.439,1.557,both (3D)
437,1,2229.1,1031.2,1,1193.4,2113.6,6.327,14.961,1.428,both (3D)
438,1,2223.9,1038.9,1,1256.2,1893.7,6.272,14.280,1.555,both (3D)
439,1,2225.9,1051.7,1,1313.5,1718.3,6.230,13.604,1.657,both (3D)
440,1,2223.2,1072.1,1,1376.1,1579.6,6.164,12.938,1.730,both (3D)
441,1,2223.0,1105.7,1,1527.3,1313.7,5.975,11.436,1.942,both (3D)
